Synonyms	Symbol	Chromosome
AMD1P2	AMD1P2	X|Y
AMD	AMD1P2	X|Y
AMD2	AMD1P2	X|Y
AMDP1	AMD1P2	X|Y
AMDPX	AMD1P2	X|Y
AMDPY	AMD1P2	X|Y
AMELX	AMELX	X
AI1E	AMELX	X
AIH1	AMELX	X
ALGN	AMELX	X
AMG	AMELX	X
AMGL	AMELX	X
AMGX	AMELX	X
AMELY	AMELY	Y
AMGL	AMELY	Y
AMGY	AMELY	Y
AMFR	AMFR	16
GP78	AMFR	16
RNF45	AMFR	16
AMH	AMH	19
MIF	AMH	19
MIS	AMH	19
AMHR2	AMHR2	12
AMHR	AMHR2	12
MISR2	AMHR2	12
MISRII	AMHR2	12
MRII	AMHR2	12
AMPD1	AMPD1	1
MAD	AMPD1	1
MADA	AMPD1	1
MMDD	AMPD1	1
AMPD2	AMPD2	1
PCH9	AMPD2	1
SPG63	AMPD2	1
AMPD3	AMPD3	11
-	AMPD3	11
AMPH	AMPH	7
AMPH1	AMPH	7
BIN1	BIN1	2
AMPH2	BIN1	2
AMPHL	BIN1	2
SH3P9	BIN1	2
AMT	AMT	3
GCE	AMT	3
GCST	AMT	3
GCVT	AMT	3
NKH	AMT	3
AMY1A	AMY1A	1
AMY1	AMY1A	1
AMY1B	AMY1B	1
AMY1	AMY1B	1
AMY1C	AMY1C	1
AMY1	AMY1C	1
AMY2A	AMY2A	1
AMY2	AMY2A	1
PA	AMY2A	1
AMY2B	AMY2B	1
AMY2	AMY2B	1
AMY3	AMY2B	1
HXA	AMY2B	1
AMYP1	AMYP1	1
AMY2P	AMYP1	1
ANCR	ANCR	15
-	ANCR	15
ANG	ANG	14
ALS9	ANG	14
HEL168	ANG	14
RAA1	ANG	14
RNASE4	ANG	14
RNASE5	ANG	14
ANGPT1	ANGPT1	8
AGP1	ANGPT1	8
AGPT	ANGPT1	8
ANG1	ANGPT1	8
ANGPT2	ANGPT2	8
AGPT2	ANGPT2	8
ANG2	ANGPT2	8
ANK1	ANK1	8
ANK	ANK1	8
SPH1	ANK1	8
SPH2	ANK1	8
ANK2	ANK2	4
ANK-2	ANK2	4
LQT4	ANK2	4
brank-2	ANK2	4
ANK3	ANK3	10
ANKYRIN-G	ANK3	10
MRT37	ANK3	10
ANOP1	ANOP1	X
MCOPS4	ANOP1	X
ANPEP	ANPEP	15
APN	ANPEP	15
CD13	ANPEP	15
GP150	ANPEP	15
LAP1	ANPEP	15
P150	ANPEP	15
PEPN	ANPEP	15
SLC25A4	SLC25A4	4
AAC1	SLC25A4	4
ANT	SLC25A4	4
ANT 1	SLC25A4	4
ANT1	SLC25A4	4
MTDPS12	SLC25A4	4
MTDPS12A	SLC25A4	4
PEO2	SLC25A4	4
PEO3	SLC25A4	4
PEOA2	SLC25A4	4
T1	SLC25A4	4
SLC25A5	SLC25A5	X
